env_0,env_1,env_2,env_3,Mean Reward
72.4,10.2,15.599999999999998,94.2,48.1
12.399999999999999,19.599999999999998,21.4,8.399999999999999,15.449999999999998
5.599999999999998,9.399999999999999,12.599999999999998,12.599999999999998,10.049999999999997
75.4,11.599999999999998,12.0,8.599999999999998,26.9
12.399999999999999,91.2,11.599999999999998,25.599999999999994,35.199999999999996
50.599999999999994,12.599999999999998,13.799999999999997,31.200000000000003,27.049999999999997
8.2,9.2,62.2,23.4,25.75
17.599999999999998,9.2,19.599999999999998,13.2,14.899999999999999
22.200000000000003,17.2,8.399999999999999,47.2,23.75
8.2,6.399999999999999,15.599999999999998,11.799999999999997,10.499999999999998
6.199999999999999,5.799999999999997,12.399999999999999,25.599999999999994,12.499999999999996
4.399999999999999,8.2,16.599999999999998,69.4,24.65
37.2,15.599999999999998,28.599999999999994,9.599999999999998,22.749999999999996
29.200000000000003,5.199999999999999,91.2,7.199999999999999,33.2
3.3999999999999986,20.4,14.999999999999996,19.2,14.5
21.4,6.399999999999999,15.999999999999996,16.4,15.049999999999999
33.400000000000006,6.399999999999999,39.2,41.599999999999994,30.15
16.2,11.2,9.2,10.399999999999999,11.749999999999998
14.599999999999998,15.2,11.399999999999999,7.199999999999999,12.099999999999998
15.2,49.2,14.399999999999999,9.599999999999998,22.1
12.2,14.399999999999999,10.399999999999999,25.200000000000003,15.55
15.399999999999999,59.4,14.399999999999999,8.399999999999999,24.4
16.599999999999998,18.4,52.4,16.2,25.900000000000002
14.599999999999998,23.4,24.4,74.4,34.2
17.799999999999997,10.2,58.400000000000006,30.4,29.200000000000003
9.799999999999997,14.799999999999997,15.399999999999999,18.4,14.599999999999998
66.2,12.2,4.199999999999999,35.2,29.450000000000003
6.399999999999999,6.399999999999999,11.399999999999999,8.2,8.099999999999998
18.799999999999997,15.399999999999999,17.4,84.2,33.95
10.599999999999998,11.399999999999999,19.0,95.2,34.05
12.799999999999997,22.4,17.2,15.599999999999998,16.999999999999996
22.400000000000006,11.399999999999999,15.2,9.599999999999998,14.649999999999999
16.799999999999997,10.2,12.399999999999999,5.199999999999999,11.149999999999999
18.799999999999997,23.200000000000003,19.799999999999997,18.4,20.049999999999997
93.4,18.999999999999996,10.399999999999999,14.2,34.25
5.799999999999997,91.2,18.4,14.2,32.4
76.2,15.799999999999997,61.80000000000001,3.3999999999999986,39.300000000000004
9.399999999999999,14.799999999999997,18.799999999999997,3.3999999999999986,11.599999999999998
9.399999999999999,8.999999999999996,16.599999999999998,23.4,14.599999999999998
12.599999999999998,23.599999999999994,62.2,13.2,27.9
32.4,36.800000000000004,77.2,10.399999999999999,39.2
4.399999999999999,9.2,10.599999999999998,16.4,10.149999999999999
12.599999999999998,13.599999999999998,74.2,80.2,45.150000000000006
15.399999999999999,12.799999999999997,15.799999999999997,35.2,19.799999999999997
13.399999999999999,61.2,20.4,15.399999999999999,27.6
19.199999999999996,11.399999999999999,22.799999999999997,90.2,35.9
19.999999999999996,51.80000000000001,92.2,33.2,49.3
29.6,7.599999999999998,15.599999999999998,91.2,36.0
9.2,14.599999999999998,24.4,10.399999999999999,14.649999999999999
3.3999999999999986,13.599999999999998,17.2,12.2,11.599999999999998
8.399999999999999,18.599999999999998,47.60000000000001,18.2,23.200000000000003
29.800000000000004,93.4,12.799999999999997,16.4,38.1
20.799999999999997,5.199999999999999,19.199999999999996,20.4,16.4
3.3999999999999986,14.599999999999998,20.4,11.2,12.399999999999999
5.199999999999999,10.2,60.400000000000006,9.399999999999999,21.300000000000004
23.599999999999994,6.199999999999999,9.599999999999998,10.399999999999999,12.449999999999998
97.4,24.6,14.599999999999998,14.799999999999997,37.849999999999994
8.799999999999997,43.2,51.2,37.2,35.1
98.4,12.599999999999998,10.999999999999996,31.4,38.35
7.199999999999999,19.2,5.799999999999997,16.799999999999997,12.249999999999998
18.4,10.399999999999999,43.2,95.4,41.85
